time,dk,k,dxi,xi,out
10.832,0,0.0,-0.0,0.0,-0.0
10.894,0,0.0,0.0,0.0,-0.0
10.943,0,0.0,0.0,0.0,-0.0
10.995,0,0.0,0.0,0.0,-0.0
11.041,0,0.0,0.0,0.0,-0.0
11.074,0,0.0,0.0,0.0,-0.0
11.112,0,0.0,0.0,0.0,-0.0
11.154,0,0.0,0.0,0.0,-0.0
11.224,0,0.0,0.0,0.0,-0.0
11.282,0,0.0,0.0,0.0,-0.0
11.309,0,0.0,0.0,0.0,-0.0
11.347,0,0.0,0.0,0.0,-0.0
11.384,0,0.0,0.0,0.0,-0.0
11.443,0,0.0,0.0,0.0,-0.0
11.493,0,0.0,0.0,0.0,-0.0
11.521,0,0.0,0.0,0.0,-0.0
11.563,0,0.0,0.0,0.0,-0.0
11.6,0,0.0,0.0,0.0,-0.0
11.661,0,0.0,0.0,0.0,-0.0
11.705,0,0.0,0.0,0.0,-0.0
11.736,0,0.0,0.0,0.0,-0.0
11.763,0,0.0,0.0,0.0,-0.0
11.808,0,0.0,0.0,0.0,-0.0
11.848,0,0.0,0.0,0.0,-0.0
11.86,0,0.0,0.0,0.0,-0.0
11.898,0,0.0,0.0,0.0,-0.0
11.953,0,0.0,0.0,0.0,-0.0
12.004,0,0.0,0.0,0.0,-0.0
12.046,0,0.0,0.0,0.0,-0.0
12.094,0,0.0,0.0,0.0,-0.0
12.133,0,0.0,0.0,0.0,-0.0
12.173,0,0.0,0.0,0.0,-0.0
12.223,0,0.0,0.0,0.0,-0.0
12.251,0,0.0,0.0,0.0,-0.0
12.291,0,0.0,0.0,0.0,-0.0
12.318,0,0.0,0.0,0.0,-0.0
12.342,0,0.0,0.0,0.0,-0.0
12.395,0,0.0,0.0,0.0,-0.0
12.443,0,0.0,0.0,0.0,-0.0
12.483,0,0.0,0.0,0.0,-0.0
12.557,0,0.0,0.0,0.0,-0.0
12.621,0,0.0,0.0,0.0,-0.0
12.649000000000001,0,0.0,0.0,0.0,-0.0
12.683,0,0.0,0.0,0.0,-0.0
12.712,0,0.0,0.0,0.0,-0.0
12.748,0,0.0,0.0,0.0,-0.0
12.806000000000001,0,0.0,0.0,0.0,-0.0
12.844,0,0.0,0.0,0.0,-0.0
12.868,0,0.0,0.0,0.0,-0.0
12.895,0,0.0,0.0,0.0,-0.0
12.927,0,0.0,0.0,0.0,-0.0
12.96,0,0.0,0.0,0.0,-0.0
12.99,0,0.0,0.0,0.0,-0.0
13.038,0,0.0,0.0,0.0,-0.0
13.069,0,0.0,0.0,0.0,-0.0
13.118,0,0.0,0.0,0.0,-0.0
13.158,0,0.0,0.0,0.0,-0.0
13.213,0,0.0,0.0,0.0,-0.0
13.29,0,0.0,0.0,0.0,-0.0
13.33,0,0.0,-0.0,0.0,-0.0
13.403,0,0.0,-0.0,0.0,-0.0
13.444,0,0.0,-0.0,0.0,-0.0
13.477,0,0.0,-0.0,0.0,-0.0
13.532,0,0.0,-0.0,0.0,-0.0
13.563,0,0.0,-0.0,0.0,-0.0
13.605,0,0.0,-0.0,0.0,-0.0
13.648,0,0.0,-0.0,0.0,-0.0
13.68,0,0.0,-0.0,0.0,-0.0
13.731,0,0.0,-0.0,0.0,-0.0
13.776,0,0.0,-0.0,0.0,-0.0
13.828,0,0.0,-0.0,0.0,-0.0
13.854,0,0.0,-0.0,0.0,-0.0
13.9,0,0.0,-0.0,0.0,-0.0
13.987,0,0.0,-0.0,0.0,-0.0
14.031,0,0.0,-0.0,0.0,-0.0
14.095,0,0.0,-0.0,0.0,-0.0
14.15,0,0.0,0.0,0.0,-0.0
14.191,0,0.0,0.0,0.0,-0.0
14.21,0,0.0,0.0,0.0,-0.0
14.267,0,0.0,0.0,0.0,-0.0
14.342,0,0.0,0.0,0.0,-0.0
14.389,0,0.0,0.0,0.0,-0.0
14.419,0,0.0,0.0,0.0,-0.0
14.472,0,0.0,0.0,0.0,-0.0
14.529,0,0.0,0.0,0.0,-0.0
14.555,0,0.0,0.0,0.0,-0.0
14.586,0,0.0,0.0,0.0,-0.0
14.657,0,0.0,0.0,0.0,-0.0
14.687,0,0.0,0.0,0.0,-0.0
14.743,0,0.0,0.0,0.0,-0.0
14.781,0,0.0,0.0,0.0,-0.0
14.848,0,0.0,0.0,0.0,-0.0
14.892,0,0.0,0.0,0.0,-0.0
14.921,0,0.0,0.0,0.0,-0.0
14.957,0,0.0,0.0,0.0,-0.0
14.995,0,0.0,0.0,0.0,-0.0
15.04,0,0.0,0.0,0.0,-0.0
15.083,0,0.0,0.0,0.0,-0.0
15.123,0,0.0,0.0,0.0,-0.0
15.154,0,0.0,0.0,0.0,-0.0
15.199,0,0.0,0.0,0.0,-0.0
15.232,0,0.0,0.0,0.0,-0.0
15.279,0,0.0,0.0,0.0,-0.0
15.322,0,0.0,0.0,0.0,-0.0
15.37,0,0.0,0.0,0.0,-0.0
15.42,0,0.0,0.0,0.0,-0.0
15.46,0,0.0,0.0,0.0,-0.0
15.5,0,0.0,0.0,0.0,-0.0
15.536,0,0.0,0.0,0.0,-0.0
15.548,0,0.0,0.0,0.0,-0.0
15.609,0,0.0,0.0,0.0,-0.0
15.698,0,0.0,0.0,0.0,-0.0
15.742,0,0.0,0.0,0.0,-0.0
15.785,0,0.0,0.0,0.0,-0.0
15.839,0,0.0,0.0,0.0,-0.0
15.899000000000001,0,0.0,0.0,0.0,-0.0
15.946,0,0.0,0.0,0.0,-0.0
15.977,0,0.0,0.0,0.0,-0.0
16.011,0,0.0,0.0,0.0,-0.0
16.045,0,0.0,0.0,0.0,-0.0
16.08,0,0.0,-0.0,0.0,-0.0
16.144,0,0.0,-0.0,0.0,-0.0
16.191,0,0.0,-0.0,0.0,-0.0
16.243,0,0.0,-0.0,0.0,-0.0
16.279,0,0.0,-0.0,0.0,-0.0
16.313,0,0.0,-0.0,0.0,-0.0
16.351,0,0.0,-0.0,0.0,-0.0
16.402,0,0.0,-0.0,0.0,-0.0
16.458,0,0.0,-0.0,0.0,-0.0
16.511,0,0.0,-0.0,0.0,-0.0
16.538,0,0.0,-0.0,0.0,-0.0
16.578,0,0.0,-0.0,0.0,-0.0
16.618,0,0.0,-0.0,0.0,-0.0
16.66,0,0.0,-0.0,0.0,-0.0
16.706,0,0.0,-0.0,0.0,-0.0
16.763,0,0.0,-0.0,0.0,-0.0
16.793,0,0.0,-0.0,0.0,-0.0
16.818,0,0.0,-0.0,0.0,-0.0
16.857,0,0.0,-0.0,0.0,-0.0
16.901,0,0.0,-0.0,0.0,-0.0
16.96,0,0.0,-0.0,0.0,-0.0
17.001,0,0.0,-0.0,0.0,-0.0
17.084,0,0.0,-0.0,0.0,-0.0
17.135,0,0.0,-0.0,0.0,-0.0
17.177,0,0.0,-0.0,0.0,-0.0
17.214,0,0.0,-0.0,0.0,-0.0
17.245,0,0.0,-0.0,0.0,-0.0
17.303,0,0.0,-0.0,0.0,-0.0
17.341,0,0.0,-0.0,0.0,-0.0
17.372,0,0.0,-0.0,0.0,-0.0
17.395,0,0.0,-0.0,0.0,-0.0
17.436,0,0.0,-0.0,0.0,-0.0
17.461,0,0.0,-0.0,0.0,-0.0
17.511,0,0.0,-0.0,0.0,-0.0
17.56,0.08,0.003919999999999959,-1.5450470062732563e-06,-7.570730330738876e-08,1.2409941158147163e-08
17.613,0.08,0.008160000000000025,-6.807748204964719e-06,-4.3651795817052446e-07,9.403464854482573e-08
17.651,0.08,0.011200000000000047,-1.3060928226424169e-05,-9.328332307746462e-07,2.3135678678259906e-07
17.691,0.08,0.014399999999999979,-2.2035957727350773e-05,-1.814271539868658e-06,4.88585024637452e-07
17.732,0.08,0.017680000000000008,-3.321783225357215e-05,-3.1762026622651284e-06,8.975427502932135e-07
17.761,0.08,0.020000000000000004,-4.347898976780942e-05,-4.437093365531598e-06,1.3132891319093484e-06
17.8,0.08,0.02312000000000012,-5.956397336475937e-05,-6.760088326757302e-06,2.0742193724484577e-06
17.838,0.08,0.02616000000000014,-7.625758155580785e-05,-9.65787642587802e-06,3.020178494871156e-06
17.881,0.08,0.029600000000000085,-0.00010034419946622401,-1.397267700292558e-05,4.501593703720884e-06
17.913,0.08,0.032160000000000084,-0.00012189523162694966,-1.7873324414987973e-05,5.924822715507764e-06
17.957,0.08,0.03568000000000012,-0.0001549031431196889,-2.4689062712254362e-05,8.382974921064106e-06
18.003,0.08,0.03936000000000007,-0.00019523991663557993,-3.367009887749091e-05,1.1703506120793756e-05
18.015,0.08,0.0403200000000001,-0.00020487923008554837,-3.612864963851759e-05,1.260772968155577e-05
18.092,0.08,0.04647999999999996,-0.00029414492693336625,-5.877780901238626e-05,2.1106073487749463e-05
18.132,0.08,0.049680000000000175,-0.00033603822798549646,-7.221933813180703e-05,2.605978293525227e-05
18.166,0.08,0.05240000000000009,-0.00038985897095085865,-8.54745431441358e-05,3.174543959010862e-05
18.209,0.08,0.055840000000000035,-0.0004627016360254534,-0.00010537071349322994,4.015081707658169e-05
18.237,0.08,0.05807999999999993,-0.0005005650457779788,-0.00011938653477501268,4.555771058051871e-05
18.282,0.08,0.06168000000000006,-0.0005914111357599835,-0.00014600003588421297,5.7163523937751116e-05
18.298,0.08,0.06295999999999992,-0.0006466382145735017,-0.00015634624731738787,6.306360150604138e-05
18.336,0.08,0.06599999999999993,-0.0007105889043606979,-0.00018334862568309456,7.366776703753781e-05
18.361,0.08,0.0680000000000001,-0.0007926450622465212,-0.00020316475223925928,8.396824756417392e-05
18.388,0.08,0.07016000000000018,-0.0008437962357439009,-0.00022594725060434546,9.31289830505408e-05
