time,err
3219.29,1.2474619026647815e-07
3219.316,1.2474619026647815e-07
3219.339,1.2474654154104314e-07
3219.364,1.2474654154104314e-07
3219.38,1.247528240710949e-07
3219.409,1.247528240710949e-07
3219.439,1.2476499078317715e-07
3219.468,1.2476499078317715e-07
3219.501,1.2474527100181376e-07
3219.532,1.2475820243551539e-07
3219.555,1.2475820243551539e-07
3219.582,1.2477815136691106e-07
3219.606,1.2477815136691106e-07
3219.627,1.2479329392078853e-07
3219.646,1.2479329392078853e-07
3219.666,1.2479329392078853e-07
3219.687,1.245505916180889e-07
3219.718,1.245505916180889e-07
3219.745,1.2488230716201087e-07
3219.77,1.2488230716201087e-07
3219.795,1.2475323840632768e-07
3219.821,1.2475323840632768e-07
3219.849,1.2482963684945503e-07
3219.871,1.2482963684945503e-07
3219.896,1.2539078841911078e-07
3219.919,1.2539078841911078e-07
3219.951,1.2548728767214357e-07
3219.976,1.2548728767214357e-07
3220.008,1.2529923676396493e-07
3220.037,1.2606655053204463e-07
3220.066,1.2606655053204463e-07
3220.094,1.2638138935372467e-07
3220.122,1.2638138935372467e-07
3220.15,1.2543664462683068e-07
3220.175,1.2543664462683068e-07
3220.201,1.2691561668276563e-07
3220.224,1.2691561668276563e-07
3220.25,1.25353035507203e-07
3220.27,1.25353035507203e-07
3220.305,1.2369300739223377e-07
3220.326,1.2369300739223377e-07
3220.359,1.2773273549981923e-07
3220.387,1.2807289229144203e-07
3220.411,1.2807289229144203e-07
3220.436,1.2807289229144203e-07
3220.462,1.302303345163125e-07
3220.486,1.302303345163125e-07
3220.508,1.1652184062072024e-07
3220.536,1.1652184062072024e-07
3220.556,1.199308310440017e-07
3220.587,1.199308310440017e-07
3220.623,1.290313820234701e-07
3220.652,1.292846105727108e-07
3220.675,1.292846105727108e-07
3220.702,1.325754719339045e-07
3220.731,1.325754719339045e-07
3220.757,1.3481961902428452e-07
3220.783,1.3481961902428452e-07
3220.809,1.3404571630459827e-07
3220.836,1.3404571630459827e-07
3220.862,1.3642831309113035e-07
3220.892,1.3642831309113035e-07
3220.92,1.4008443782742575e-07
3220.945,1.4008443782742575e-07
3220.971,1.3969643752886896e-07
3220.992,1.3969643752886896e-07
3221.008,1.2656902237395684e-07
3221.036,1.2656902237395684e-07
3221.063,1.3413540411733038e-07
3221.09,1.3413540411733038e-07
3221.114,1.3445853097593385e-07
3221.138,1.3445853097593385e-07
3221.167,1.4301504869251858e-07
3221.192,1.4301504869251858e-07
3221.223,1.4175659313053757e-07
3221.253,1.4175659313053757e-07
3221.28,1.435653156356409e-07
3221.308,1.566699987520792e-07
3221.341,1.566699987520792e-07
3221.367,1.478521380882114e-07
3221.394,1.478521380882114e-07
3221.426,1.398686237941149e-07
3221.472,1.4406198323158037e-07
3221.491,1.4406198323158037e-07
3221.516,1.5332528535694223e-07
3221.54,1.5332528535694223e-07
3221.568,1.5714179157910735e-07
