time,err
3219.23,1.2474619026647815e-07
3219.256,1.2474619026647815e-07
3219.28,1.2474619026647815e-07
3219.304,1.2474619026647815e-07
3219.33,1.2474654154104314e-07
3219.355,1.2474654154104314e-07
3219.374,1.247528240710949e-07
3219.397,1.247528240710949e-07
3219.424,1.2476499078317715e-07
3219.448,1.2476499078317715e-07
3219.469,1.2474527100181376e-07
3219.49,1.2474527100181376e-07
3219.515,1.2474527100181376e-07
3219.541,1.2475820243551539e-07
3219.56,1.2475820243551539e-07
3219.585,1.2477815136691106e-07
3219.606,1.2477815136691106e-07
3219.632,1.2479329392078853e-07
3219.653,1.2479329392078853e-07
3219.674,1.245505916180889e-07
3219.703,1.245505916180889e-07
3219.732,1.2488230716201087e-07
3219.755,1.2488230716201087e-07
3219.78,1.2475323840632768e-07
3219.801,1.2475323840632768e-07
3219.824,1.2475323840632768e-07
3219.844,1.2482963684945503e-07
3219.863,1.2482963684945503e-07
3219.887,1.2539078841911078e-07
3219.908,1.2539078841911078e-07
3219.926,1.2539078841911078e-07
3219.945,1.2548728767214357e-07
3219.965,1.2548728767214357e-07
3219.983,1.2529923676396493e-07
3220.01,1.2529923676396493e-07
3220.038,1.2606655053204463e-07
3220.069,1.2606655053204463e-07
3220.092,1.2638138935372467e-07
3220.115,1.2638138935372467e-07
3220.135,1.2543664462683068e-07
3220.163,1.2543664462683068e-07
3220.193,1.2691561668276563e-07
3220.214,1.2691561668276563e-07
3220.241,1.25353035507203e-07
3220.263,1.25353035507203e-07
3220.293,1.2369300739223377e-07
3220.318,1.2369300739223377e-07
3220.347,1.2773273549981923e-07
3220.372,1.2773273549981923e-07
3220.395,1.2807289229144203e-07
3220.418,1.2807289229144203e-07
3220.45,1.302303345163125e-07
3220.474,1.302303345163125e-07
3220.495,1.1652184062072024e-07
3220.521,1.1652184062072024e-07
3220.538,1.1652184062072024e-07
3220.555,1.199308310440017e-07
3220.586,1.199308310440017e-07
3220.615,1.290313820234701e-07
3220.643,1.292846105727108e-07
3220.66,1.292846105727108e-07
3220.68,1.292846105727108e-07
3220.7,1.325754719339045e-07
3220.732,1.325754719339045e-07
3220.753,1.3481961902428452e-07
3220.773,1.3481961902428452e-07
3220.797,1.3404571630459827e-07
3220.826,1.3404571630459827e-07
3220.853,1.3642831309113035e-07
3220.871,1.3642831309113035e-07
3220.895,1.3642831309113035e-07
3220.923,1.4008443782742575e-07
3220.952,1.3969643752886896e-07
3220.975,1.3969643752886896e-07
3220.992,1.3969643752886896e-07
3221.005,1.2656902237395684e-07
3221.025,1.2656902237395684e-07
3221.045,1.2656902237395684e-07
3221.069,1.3413540411733038e-07
3221.095,1.3413540411733038e-07
3221.126,1.3445853097593385e-07
3221.146,1.3445853097593385e-07
3221.171,1.4301504869251858e-07
3221.191,1.4301504869251858e-07
3221.212,1.4175659313053757e-07
3221.235,1.4175659313053757e-07
3221.255,1.435653156356409e-07
3221.276,1.435653156356409e-07
3221.299,1.435653156356409e-07
3221.328,1.566699987520792e-07
3221.353,1.566699987520792e-07
3221.378,1.478521380882114e-07
3221.399,1.478521380882114e-07
3221.425,1.398686237941149e-07
3221.468,1.4406198323158037e-07
