time,err
3224.318,3.8309518948453007
3224.418,3.8309518948453007
3224.521,3.8309518948453007
3224.626,3.8309339275848986
3224.73,3.8307935999373015
3224.83,3.8304121304205747
3224.93,3.8294656871522035
3225.032,3.827556846039328
3225.134,3.8235258624538515
3225.232,3.816172307532719
3225.336,3.8032231399578853
3225.444,3.784010510995926
3225.547,3.755618935628993
3225.647,3.7166013927884913
3225.742,3.666022391887057
3225.851,3.6010178445183554
3225.949,3.5209642765168443
3226.057,3.423315273046491
3226.153,3.3077629971941676
3226.259,3.184604233176671
3226.41,2.9904484196366594
3226.507,2.8549694125569918
3226.618,2.717051058544219
3226.72,2.5794342122322194
3226.818,2.442146895659058
3226.921,2.3052206336336036
3227.019,2.1686910042741596
3227.125,2.0325982935532663
3227.227,1.896988276659525
3227.331,1.7619131546163422
3227.433,1.6274326817364688
3227.533,1.4936155285584616
3227.634,1.360540936432773
3227.734,1.2283007345501034
3227.833,1.0970018087101052
3227.941,0.9667691343970857
3228.042,0.8377495156672059
3228.148,0.7101162066834581
3228.249,0.5840746345622163
3228.343,0.4598694891087223
3228.453,0.33779349240021617
3228.548,0.21819819808109875
3228.652,0.10150717391883024
3228.76,-0.011768152026776058
3228.86,-0.12100992984040126
3228.961,-0.2254730744724196
3229.066,-0.32426366683568064
3229.159,-0.4163197827994858
3229.27,-0.5004006783083108
3229.37,-0.5750938472710849
3229.471,-0.6388529521936657
3229.568,-0.6900804029942431
3229.68,-0.7272621091960099
3229.778,-0.74914491248695
3229.873,-0.7549218962543016
3229.983,-0.744370738594653
3230.084,-0.7178944961633078
3230.184,-0.6764485174198971
3230.279,-0.6213822667931885
3230.387,-0.5542512304050757
3230.491,-0.4766495877642478
3230.59,-0.390090755560095
3230.695,-0.295939145626559
3230.796,-0.20054341531848996
3230.899,-0.12218171278540835
3230.994,-0.06456106810568918
3231.098,-0.029464381528377714
3231.207,-0.02388742743479888
3231.302,-0.024569591724452167
3231.412,-0.017552132710945134
3231.511,0.002505179495911669
3231.61,0.03418693226395453
3231.712,0.07532657221318262
3231.818,0.12746863073835257
3231.915,0.19868319530770018
3232.018,0.27475099279543835
3232.122,0.3458877522332613
3232.228,0.404737479401728
3232.322,0.45600407242876617
3232.425,0.5047284264848879
3232.53,0.5469666329479308
3232.634,0.5757221577765042
3232.732,0.5845071100872894
3232.833,0.5602525713566293
3232.934,0.5198060516066252
3233.036,0.4728176265439483
3233.146,0.42216851066487004
3233.245,0.3708269620296578
3233.347,0.32080675152460003
3233.446,0.2711447246505627
3233.55,0.22279292411338636
3233.65,0.17492036990965332
3233.751,0.11932631511094005
3233.856,0.06495363278551736
3233.96,0.0172854352346703
3234.057,-0.01905226902624335
3234.167,-0.04791830636469929
3234.265,-0.06169510149077828
3234.361,-0.04733306129913584
3234.471,-0.019640195007940342
3234.564,0.013291498636606836
3234.668,0.04457441255234684
3234.769,0.06433630894546072
3234.871,0.07039758368639282
3234.974,0.06877094511622772
3235.081,0.06111280743305514
3235.176,0.04962742938262066
3235.285,0.037267846428552076
3235.386,0.022614910664418897
3235.482,0.010135374001674968
3235.59,0.0007138756973641414
3235.688,-0.003960667895584136
3235.796,-0.005913098226956848
3235.899,-0.006584977071793396
3235.995,-0.005836251333238396
3236.094,-0.004156380478253174
3236.2,-0.00233638889327481
3236.305,-0.0009273442750843408
3236.408,-0.0003753158329391493
3236.503,-0.0004997429648869733
3236.607,-0.0008933912815798362
3236.71,-0.0013673656387263033
3236.815,-0.0017991921011826228
3236.919,-0.002120158550241058
3237.014,-0.002308232982186409
3237.123,-0.0023957337689413105
3237.22,-0.0023992105781598383
3237.327,-0.0023010588013883115
3237.419,-0.002155621279350539
3237.522,-0.0020321685179796045
3237.628,-0.001948892587002149
3237.73,-0.0019292605551370912
3237.84,-0.0019825910270629965
3237.931,-0.002051256677447988
3238.039,-0.0020623728778741413
3238.134,-0.002028397844950014
3238.238,-0.0019762104782632406
3238.34,-0.0019084699228846258
3238.451,-0.0018667657742117427
3238.547,-0.0018906695703213572
3238.645,-0.001976610112526034
3238.748,-0.0021023652714577956
3238.85,-0.0022308531208055093
3238.956,-0.0023458645530176625
3239.059,-0.0024463024076899487
3239.157,-0.002513876260388903
3239.258,-0.0025618442956660825
3239.363,-0.002600849999746968
3239.46,-0.0026399891509618634
3239.568,-0.0026805913028769
3239.665,-0.002722829253137604
3239.773,-0.002768304045212222
3239.873,-0.0028104411721914246
3239.972,-0.0028411450064478316
3240.076,-0.002832378731450813
3240.183,-0.0027885701034251476
3240.284,-0.002721705420873022
3240.385,-0.002666698788299726
3240.482,-0.002668257886498715
3240.593,-0.0027196089762637765
3240.696,-0.002809775884071053
3240.793,-0.0028979209841184517
3240.9,-0.002958987743794328
3240.992,-0.00299175110565586
3241.098,-0.0029999791548116495
3241.198,-0.002998574114153163
3241.299,-0.0029965142608519013
3241.405,-0.0030002742684827055
3241.505,-0.003006401244867618
3241.604,-0.003011935087820161
3241.714,-0.0030144344382905253
3241.81,-0.003011205683661089
3241.909,-0.0030016936196821664
3242.013,-0.0029877560648048362
3242.117,-0.0029722835314041074
3242.22,-0.002956981116302382
3242.32,-0.0029425635588391508
3242.424,-0.0029299456875802043
3242.523,-0.0029180211117263433
3242.629,-0.0029049252621289323
3242.728,-0.002890372457862167
3242.834,-0.0028734028641823617
3242.937,-0.0028531714672157538
3243.038,-0.0028326114550061288
3243.136,-0.0028109734958383648
3243.242,-0.0027891456574149487
3243.341,-0.002763337251137532
3243.446,-0.002719496424282264
3243.541,-0.0026664709394532693
3243.645,-0.0026190654853113227
3243.75,-0.0025913716117813568
3243.853,-0.0025796462294718214
3243.952,-0.002576836344679201
3244.056,-0.0025742056637512167
3244.16,-0.0025649710197641618
3244.264,-0.0025476102981751847
3244.364,-0.00252433531740337
3244.461,-0.002497734755030123
3244.565,-0.002471867801595584
3244.667,-0.0024482050718146464
3244.766,-0.0024263425673831662
3244.872,-0.002404965039294993
3244.971,-0.002382527138555801
3245.077,-0.002358783694853983
3245.182,-0.0023340676668501814
3245.28,-0.002309302208848729
3245.377,-0.00228408276186598
3245.477,-0.002256979539964954
3245.584,-0.0022286525296157933
3245.685,-0.0021973940018802374
3245.788,-0.002161236128735311
3245.896,-0.0021204708452078336
3245.995,-0.002074917709816937
3246.091,-0.002026690551457655
3246.2,-0.001976817976703904
3246.298,-0.001925645407111265
3246.403,-0.0018737044501391242
3246.503,-0.0018197830832620276
3246.608,-0.0017651366944413382
3246.71,-0.0017114789350045623
3246.814,-0.0016588840765381363
3246.913,-0.0016069931165043627
3247.009,-0.0015619094264429645
3247.114,-0.0015211709787394945
3247.228,-0.0014848103045912442
3247.316,-0.0014518964805927403
3247.421,-0.0014217003675773832
3247.521,-0.001393455724443271
3247.622,-0.0013659344854268785
3247.726,-0.0013414767153778762
3247.826,-0.0013195511264847415
3247.934,-0.0012990242037003163
3248.038,-0.0012799507198433258
3248.137,-0.001262612516538475
3248.233,-0.0012461574233331163
3248.339,-0.001230152493340464
3248.437,-0.0012144925777366478
3248.542,-0.0011994892715483374
3248.646,-0.0011846999397808755
3248.747,-0.001170043251800701
3248.847,-0.001155741576857272
3248.96,-0.001141835113265044
3249.054,-0.0011279934003796122
3249.158,-0.001114073744179933
3249.261,-0.0011002244302782405
3249.361,-0.001086349262232389
3249.458,-0.0010724518855766974
3249.562,-0.0010587047934329519
3249.671,-0.0010449757958737038
3249.765,-0.001031055727703123
3249.87,-0.0010171326092838218
3249.972,-0.0010032020716841394
3250.07,-0.0009891633653256182
3250.174,-0.0009749393935165607
3250.282,-0.0009604970317731443
3250.384,-0.0009453072662619633
3250.482,-0.0009293159263918938
3250.579,-0.0009134805834809523
3250.683,-0.0008981702372239386
3250.79,-0.0008838338726144812
3250.887,-0.0008703711679352022
3250.989,-0.0008574924409021634
3251.098,-0.0008448915992973483
3251.19,-0.0008314712658128443
3251.3,-0.0008167459365462371
3251.402,-0.0008021304577765509
3251.5,-0.0007876541041109686
3251.602,-0.0007746019621952538
3251.7,-0.0007627454878951223
3251.809,-0.000751607282943656
3251.915,-0.0007408120385372641
3252.015,-0.0007302981718457779
3252.115,-0.0007197208558238355
3252.213,-0.0007095639037513202
3252.319,-0.0006997579911418583
3252.421,-0.0006890630148344012
3252.522,-0.0006780071388916564
3252.624,-0.0006669599821595984
3252.724,-0.0006560554788834772
3252.823,-0.0006447960632349758
3252.928,-0.000633790253926847
3253.031,-0.0006232821017611023
3253.137,-0.0006131180496227184
3253.236,-0.0006032715516379739
3253.334,-0.0005931463580881591
3253.44,0.013530628137459644
3253.546,0.027484096383179946
3253.648,0.03856200373465235
3253.747,0.044642130047749085
3253.846,0.047377061152527045
3253.948,0.048890852211144864
3254.052,0.05061688392853503
3254.156,0.05276019962358536
3254.254,0.054034679096610194
3254.36,0.052639931766465864
3254.454,0.04781429825958572
3254.56,0.040950184121949285
3254.666,0.03442261379654221
3254.767,0.029775843147746173
3254.865,0.0273782489425618
3254.969,0.02656454023408905
3255.067,0.025977017596535923
3255.177,0.024515137275696652
3255.277,0.021999479469506866
3255.378,0.018968825933287636
3255.48,0.016420970102284382
3255.59,0.015357237209073116
3255.685,0.01604761221378226
3255.788,0.017533518090286915
3255.887,0.018512809291469257
3255.99,0.018297951519159916
3256.095,0.01731126340643785
3256.195,0.016365145883943555
3256.296,0.016071316087158394
3256.4,0.01629679501973369
3256.496,0.016594152393076378
3256.603,0.01675454490037165
3256.7,0.01669664507961688
3256.81,0.016527254515066758
3256.908,0.016234136163201462
3257.013,0.015749860906558943
3257.107,0.015196300906723526
3257.215,0.015044392418313013
3257.317,0.015405833752703657
3257.418,0.016483195599076073
3257.517,0.019033622646075443
3257.624,0.022804405922191684
3257.721,0.027223400822830257
3257.823,0.031693356664034056
3257.928,0.035331597970610584
3258.024,0.03769995721764374
3258.136,0.03795710376702477
3258.233,0.03683010378705687
3258.336,0.03481533603154885
3258.441,0.03249610687136473
3258.536,0.03033369994572732
3258.637,0.024663831534124547
3258.748,0.021048716582489746
3258.842,0.02096195421565694
3258.945,0.022634433269809406
3259.052,0.024515649357375935
3259.149,0.021911159087763643
3259.257,0.01864274630889673
3259.358,0.017467216328319157
3259.457,0.01817289802233457
3259.555,0.020209577256511846
3259.665,0.02249275651081506
3259.766,0.02100011934981083
